CODE,URL,Mastery,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Duplicate script,Sprites naming,Dead code,Sprite attributes
STUDENT1,https://scratch.mit.edu/projects/46209950/,11,2,1,1,2,2,1,2,0,0,1,0
STUDENT6,https://scratch.mit.edu/projects/49335402/,Error analyzing project
STUDENT4,https://scratch.mit.edu/projects/49333588/,15,2,1,3,2,3,2,2,0,0,2,4
STUDENT3,https://scratch.mit.edu/projects/49336196/,11,2,1,1,2,2,1,2,0,0,1,0
STUDENT2,https://scratch.mit.edu/projects/49335402/,Error analyzing project
STUDENT5,https://scratch.mit.edu/projects/46209950/,11,2,1,1,2,2,1,2,0,0,1,0
