URL,Mastery,Abstracción,Paralelismo,Pensamiento lógico,Sincronización,Control de flujo,Interactividad con el usuario,Representación de la información,Código repetido,Nombres por defecto,Código muerto,Inicialización atributos
https://scratch.mit.edu/projects/49335402/,Error analizando el proyecto
https://scratch.mit.edu/projects/49336196/,11,2,1,1,2,2,1,2,0,0,0,1
https://scratch.mit.edu/projects/49333588/,15,2,1,3,2,3,2,2,0,4,0,2
https://scratch.mit.edu/projects/46209950/,11,2,1,1,2,2,1,2,0,0,0,1
